year,date,type,agencies_slug_uq,agencies_id_uq,agencies_acronym_uq,agency_names,agency_slugs,document_number,title,editorial_note,filing_type,json_url,indicator
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-01451,Meetings: National Institute on Aging,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01451,0
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-01452,Meetings: National Institute of Allergy and Infectious Diseases,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01452,0
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-01453,Meetings: National Institute of Allergy and Infectious Diseases,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01453,0
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-01454,Meetings: National Institute of Dental and Craniofacial Research,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01454,0
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-01455,Meetings: National Institutes of General Medical Sciences,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01455,0
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-01456,Meetings: National Institutes of General Medical Sciences,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01456,0
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-01457,Meetings: National Institute of Nursing Research,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01457,0
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,Health and Human Services Department,health-and-human-services-department,2017-01479,Meetings: Technical Advisory Panel on Medicare Trustee Reports,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01479,0
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,National Institutes of Health,national-institutes-of-health,2017-01488,Meetings: Center for Scientific Review,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01488,0
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,Children and Families Administration,children-and-families-administration,2017-01499,"Statement of Organization, Functions, and Delegations of Authority",The ACF requested the withdrawal of this document after it was on public inspection. It will remain on public inspection until the close of business on January 24. A copy of the withdrawal request is available at the Office of the Federal Register.,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01499,1
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,Community Living Administration,community-living-administration,2017-01537,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Revised Annual and Final Reports for Performance Reporting Data from NIDILRR Grantees",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01537,0
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,Health and Human Services Department,health-and-human-services-department,2017-01541,Meetings: Secretary's Advisory Committee on National Health Promotion and Disease Prevention Objectives for 2030,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01541,0
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,Centers for Medicare & Medicaid Services,centers-for-medicare-medicaid-services,2017-01568,"Agency Information Collection Activities; Proposals, Submissions, and Approvals","An agency letter requesting withdrawal of this document was received after placement on public inspection. The document will remain on public inspection through close of business January 24, 2017. A copy of the agency's letter is available for inspection at the Office of the Federal Register.",special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01568,1
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,Centers for Medicare & Medicaid Services,centers-for-medicare-medicaid-services,2017-01569,"Agency Information Collection Activities; Proposals, Submissions, and Approvals","An agency letter requesting withdrawal of this document was received after placement on public inspection. The document will remain on public inspection through close of business January 24, 2017. A copy of the agency's letter is available for inspection at the Office of the Federal Register.",special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01569,1
2017,2017-01-23,Notice,health-and-human-services-department,221,HHS,Health and Human Services Department,health-and-human-services-department,2017-01476,Delegation of Authorities: Office of the National Coordinator for Health Information Technology,HHS requested the withdrawal of this document after it was on public inspection. It will remain on public inspection until the close of business on January 24. A copy of the withdrawal request is available at the Office of the Federal Register.,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01476,1
2017,2017-01-23,Notice,housing-and-urban-development-department,228,HUD,Housing and Urban Development Department,housing-and-urban-development-department,2017-01547,Mortgage and Loan Insurance Programs Under the National Housing Act: Debenture Interest Rates,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01547,0
2017,2017-01-23,Notice,housing-and-urban-development-department,228,HUD,Housing and Urban Development Department,housing-and-urban-development-department,2017-01550,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: FHA-Insured Mortgage Loan Servicing Involving the Claims and Conveyance Process, Property Inspection/Preservation",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01550,0
2017,2017-01-23,Notice,housing-and-urban-development-department,228,HUD,Housing and Urban Development Department,housing-and-urban-development-department,2017-01552,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Survey of Market Absorption of New Multifamily Units",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01552,0
2017,2017-01-23,Notice,housing-and-urban-development-department,228,HUD,Housing and Urban Development Department,housing-and-urban-development-department,2017-01556,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Equal Access Regardless of Sexual Orientation, Gender Identity, or Marital Status for HUD's Community Planning and Development Programs",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01556,0
2017,2017-01-23,Notice,interior-department,253,DOI,Geological Survey,geological-survey,2017-01445,"Agency Information Collection Activities; Proposals, Submissions, and Approvals",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01445,0
2017,2017-01-23,Notice,interior-department,253,DOI,National Park Service,national-park-service,2017-01469,"Environmental Impact Statements; Availability, etc.: Alcatraz Ferry Embarkation, Counties of Marin and San Francisco, CA",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01469,0
2017,2017-01-23,Notice,interior-department,253,DOI,Fish and Wildlife Service,fish-and-wildlife-service,2017-01543,"Environmental Assessments; Availability, etc.: Draft Comprehensive Conservation Plan, Little Sandy National Wildlife Refuge, Wood County, TX",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01543,0
2017,2017-01-23,Notice,international-trade-commission,262,ITC,International Trade Commission,international-trade-commission,2017-01446,"Antidumping or Countervailing Duty Investigations, Orders, or Reviews: Artists' Canvas from China; Expedited Five-Year Review",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01446,0
2017,2017-01-23,Notice,international-trade-commission,262,ITC,International Trade Commission,international-trade-commission,2017-01481,"Investigations; Determinations, Modifications, and Rulings, etc.: Certain Food Supplements and Vitamins, Including Ocular Antioxidants and Components Thereof and Products Containing the Same",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01481,0
2017,2017-01-23,Notice,international-trade-commission,262,ITC,International Trade Commission,international-trade-commission,2017-01482,"Investigations; Determinations, Modifications, and Rulings, etc.: Certain Athletic Footwear; Termination of Investigation",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01482,0
2017,2017-01-23,Notice,international-trade-commission,262,ITC,International Trade Commission,international-trade-commission,2017-01530,"Investigations; Determinations, Modifications, and Rulings, etc.: Certain Graphics Processors, DDR Memory Controllers, and Products Containing the Same",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01530,0
2017,2017-01-23,Notice,international-trade-commission,262,ITC,International Trade Commission,international-trade-commission,2017-01531,"Investigations; Determinations, Modifications, and Rulings, etc.: Certain Magnetic Tape Cartridges and Components Thereof",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01531,0
2017,2017-01-23,Notice,justice-department,268,DOJ,Justice Department,justice-department,2017-01471,Proposed Consent Decrees: Clean Air Act,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01471,0
2017,2017-01-23,Notice,justice-department,268,DOJ,Justice Department,justice-department,2017-01495,"Agency Information Collection Activities; Proposals, Submissions, and Approvals",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01495,0
2017,2017-01-23,Notice,justice-department,268,DOJ,Justice Department,justice-department,2017-01565,Proposed Consent Decrees: CERCLA,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01565,0
2017,2017-01-23,Notice,justice-department,268,DOJ,Justice Department,justice-department,2017-01570,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Firearm Inquiry Statistics Program",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01570,0
2017,2017-01-23,Notice,management-and-budget-office,280,OMB,Management and Budget Office,management-and-budget-office,2017-01766,Regulatory Freeze Pending Review,,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01766,0
2017,2017-01-23,Notice,national-science-foundation,366,NSF,National Science Foundation,national-science-foundation,2017-01486,Meetings: Proposal Review Panel for Ocean Sciences,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01486,0
2017,2017-01-23,Notice,national-science-foundation,366,NSF,National Science Foundation,national-science-foundation,2017-01525,Meetings: Proposal Review Panel for Physics,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01525,0
2017,2017-01-23,Notice,national-science-foundation,366,NSF,National Science Foundation,national-science-foundation,2017-01526,Meetings: Proposal Review Panel for Physics,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01526,0
2017,2017-01-23,Notice,national-transportation-safety-board,374,NTSB,National Transportation Safety Board,national-transportation-safety-board,2017-01758,Meetings; Sunshine Act,,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01758,0
2017,2017-01-23,Notice,nuclear-regulatory-commission,383,NRC,Nuclear Regulatory Commission,nuclear-regulatory-commission,2017-01546,Guidance: Program-Specific Guidance about Commercial Radiopharmacy Licenses,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01546,0
2017,2017-01-23,Notice,nuclear-regulatory-commission,383,NRC,Nuclear Regulatory Commission,nuclear-regulatory-commission,2017-01548,"Exemptions and Combined License Amendments: Southern Nuclear Operating Company, Inc., Vogtle Electric Generating Plant, Units 3 and 4 CA04 Structural Module ITAAC Dimensions Change",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01548,0
2017,2017-01-23,Notice,nuclear-regulatory-commission,383,NRC,Nuclear Regulatory Commission,nuclear-regulatory-commission,2017-01549,"Exemptions and Combined License Amendments: Southern Nuclear Operating Company, Inc., Vogtle Electric Generating Plant, Units 3 and 4, Piping Line Number Additions, Deletions and Functional Capability Re-Designation",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01549,0
2017,2017-01-23,Notice,nuclear-regulatory-commission,383,NRC,Nuclear Regulatory Commission,nuclear-regulatory-commission,2017-01551,"Exemptions and Combined License Amendments: South Carolina Electric and Gas Company, South Carolina Public Service Authority; Virgil C. Summer Nuclear Station, Units 2 and 3; Tier 1 Editorial and Consistency Changes",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01551,0
2017,2017-01-23,Notice,nuclear-regulatory-commission,383,NRC,Nuclear Regulatory Commission,nuclear-regulatory-commission,2017-01555,"License Applications; Amendments: South Carolina Electric and Gas Co., South Carolina Public Service Authority Virgil C. Summer Nuclear Station, Units 2 and 3, In-Containment Refueling Water Storage Tank (IRWST) Volume Changes",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01555,0
2017,2017-01-23,Notice,personnel-management-office,406,OPM,Personnel Management Office,personnel-management-office,2017-01470,Excepted Service,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01470,0
2017,2017-01-23,Notice,personnel-management-office,406,OPM,Personnel Management Office,personnel-management-office,2017-01475,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: USAJOBS",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01475,0
2017,2017-01-23,Notice,postal-service,410,USPS,Postal Service,postal-service,2017-01557,Product Changes: Priority Mail Negotiated Service Agreement,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01557,0
2017,2017-01-23,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-01460,"Self-Regulatory Organizations; Proposed Rule Changes: NASDAQ PHLX, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01460,0
2017,2017-01-23,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-01461,"Self-Regulatory Organizations; Proposed Rule Changes: National Stock Exchange, Inc.",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01461,0
2017,2017-01-23,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-01462,"Self-Regulatory Organizations; Proposed Rule Changes: C2 Options Exchange, Inc.",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01462,0
2017,2017-01-23,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-01463,"Self-Regulatory Organizations; Proposed Rule Changes: Chicago Board Options Exchange, Inc.",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01463,0
2017,2017-01-23,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-01464,"Self-Regulatory Organizations; Proposed Rule Changes: NASDAQ Stock Market, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01464,0
2017,2017-01-23,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-01465,"Self-Regulatory Organizations; Proposed Rule Changes: NASDAQ Stock Market, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01465,0
2017,2017-01-23,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-01466,"Self-Regulatory Organizations; Proposed Rule Changes: International Securities Exchange, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01466,0
2017,2017-01-23,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-01467,"Self-Regulatory Organizations; Proposed Rule Changes: NASDAQ BX, Inc.",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01467,0
2017,2017-01-23,Notice,securities-and-exchange-commission,466,SEC,Securities and Exchange Commission,securities-and-exchange-commission,2017-01566,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Joint Standards for Assessing the Diversity Policies and Practices of Entities Regulated by the Agencies",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01566,0
2017,2017-01-23,Notice,transportation-department,492,DOT,Pipeline and Hazardous Materials Safety Administration,pipeline-and-hazardous-materials-safety-administration,2017-00788,Hazardous Materials: Oregon Hazardous Waste Management,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00788,0
2017,2017-01-23,Notice,transportation-department,492,DOT,Federal Transit Administration,federal-transit-administration,2017-01449,Limitation on Claims Against Proposed Public Transportation Projects,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01449,0
2017,2017-01-23,Notice,transportation-department,492,DOT,Federal Railroad Administration,federal-railroad-administration,2017-01504,Compliance Waivers; Petitions: Nevada Northern Railway Foundation d.b.a. Nevada Northern Railway Museum,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01504,0
2017,2017-01-23,Notice,transportation-department,492,DOT,Federal Highway Administration,federal-highway-administration,2017-01544,"Environmental Impact Statements; Availability, etc.: Lone Star Regional Rail Project, Williamson, Travis, Bastrop, Hays, Caldwell, Comal Guadalupe and Bexar Counties, TX; Withdrawal",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01544,0
2017,2017-01-23,Notice,treasury-department,497,TREAS,Comptroller of the Currency,comptroller-of-the-currency,2017-01436,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Appraisals for Higher-Priced Mortgage Loans",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01436,0
2017,2017-01-23,Notice,treasury-department,497,TREAS,Foreign Assets Control Office,foreign-assets-control-office,2017-01441,Blocking or Unblocking of Persons and Properties,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01441,0
2017,2017-01-23,Notice,treasury-department,497,TREAS,Foreign Assets Control Office,foreign-assets-control-office,2017-01442,Blocking or Unblocking of Persons and Properties,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01442,0
2017,2017-01-23,Notice,treasury-department,497,TREAS,Foreign Assets Control Office,foreign-assets-control-office,2017-01443,Blocking or Unblocking of Persons and Properties,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01443,0
2017,2017-01-23,Notice,veterans-affairs-department,520,VA,Veterans Affairs Department,veterans-affairs-department,2017-01458,"Cost-of-Living Adjustments Effective December 1, 2016",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01458,0
2017,2017-01-23,Notice,veterans-affairs-department,520,VA,Veterans Affairs Department,veterans-affairs-department,2017-01567,Meetings: Advisory Committee on Disability Compensation,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01567,0
2017,2017-01-23,Presidential Document,executive-office-of-the-president,538,EOP,Executive Office of the President,executive-office-of-the-president,2017-01798,Special Observances: National Day of Patriotic Devotion (Proc. 9570),,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01798,0
2017,2017-01-23,Presidential Document,executive-office-of-the-president,538,EOP,Executive Office of the President,executive-office-of-the-president,2017-01799,"Patient Protection and Affordable Care Act; Minimizing the Economic Burden, Pending Repeal (EO 13765)",,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01799,0
2017,2017-01-23,Proposed Rule,health-and-human-services-department,221,HHS,Food and Drug Administration,food-and-drug-administration,2017-00630,Content and Format of Substantial Equivalence Applications: Actions on Substantial Equivalence Reports,,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00630,0
2017,2017-01-23,Proposed Rule,transportation-department,492,DOT,National Highway Traffic Safety Administration,national-highway-traffic-safety-administration,2017-01536,Federal Automated Vehicles Policy; Public Meeting,The agency requested the withdrawal of this document after it was on public inspection. It will remain on public inspection until the close of business on January 24. A copy of the withdrawal request is available at the Office of the Federal Register.,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01536,1
2017,2017-01-23,Proposed Rule,treasury-department; federal-deposit-insurance-corporation; federal-reserve-system,497; 164; 188,TREAS; FDIC; FRS,Comptroller of the Currency; Federal Reserve System; Federal Deposit Insurance Corporation,federal-reserve-system; federal-deposit-insurance-corporation; comptroller-of-the-currency,2017-01539,Enhanced Cyber Risk Management Standards,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01539,0
2017,2017-01-23,Rule,commerce-department,54,DOC,National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,2017-00522,"Takes and Imports of Marine Mammals: Rehabilitation of the Jetty System at the Mouth of the Columbia River -- Jetty A, North Jetty, and South Jetty, in Washington and Oregon",NOAA requested the withdrawal of this document after it was on public inspection. It will remain on public inspection until the close of business on January 24. A copy of the withdrawal request is available at the Office of the Federal Register.,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00522,1
2017,2017-01-23,Rule,energy-department,136,DOE,Energy Department,energy-department,2017-00242,Energy Efficiency Standards: Design and Construction of New Federal Low-Rise Residential Buildings' Baseline Standards Update,DOE requested the withdrawal of this document after it was on public inspection. It will remain on public inspection until the close of business on January 24. A copy of the withdrawal request is available at the Office of the Federal Register.,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00242,1
2017,2017-01-23,Rule,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00567,Civil Monetary Penalty Inflation Adjustments,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00567,0
2017,2017-01-23,Rule,federal-communications-commission,161,FCC,Federal Communications Commission,federal-communications-commission,2017-00365,Annual Adjustment of Civil Monetary Penalties to Reflect Inflation,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00365,0
2017,2017-01-23,Rule,federal-reserve-system,188,FRS,Federal Reserve System,federal-reserve-system,2017-00431,"Total Loss-Absorbing Capacity, Long-Term Debt, and Clean Holding Company Requirements, etc.",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00431,0
2017,2017-01-23,Rule,federal-trade-commission,192,FTC,Federal Trade Commission,federal-trade-commission,2017-01125,Adjustments to Civil Penalty Amounts,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01125,0
2017,2017-01-23,Rule,government-ethics-office,215,OGE,Government Ethics Office,government-ethics-office,2017-00627,Civil Monetary Penalties Inflation Adjustments for Ethics in Government Act Violations,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00627,0
2017,2017-01-23,Rule,health-and-human-services-department,221,HHS,Food and Drug Administration,food-and-drug-administration,2017-00644,New Animal Drugs: Withdrawal of Approval of New Animal Drug Applications,,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00644,0
2017,2017-01-23,Rule,housing-and-urban-development-department,228,HUD,Housing and Urban Development Department,housing-and-urban-development-department,2017-00709,Fixing America's Surface Transportation Act: Streamlining Administrative Regulations for Multifamily Housing Programs and Implementing Family Income Reviews,HUD requested the withdrawal of this document after it was on public inspection. It will remain on public inspection until the close of business on January 24. A copy of the withdrawal request is available at the Office of the Federal Register.,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00709,1
2017,2017-01-23,Rule,interior-department,253,DOI,Fish and Wildlife Service,fish-and-wildlife-service,2017-00466,Endangered and Threatened Species: Designation of Critical Habitat for the Dakota Skipper and Poweshiek Skipperling; Correction,The Fish and Wildlife Service requested the withdrawal of this document after it was on public inspection. It will remain on public inspection until the close of business on January 24. A copy of the withdrawal request is available at the Office of the Federal Register.,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00466,1
2017,2017-01-23,Rule,interior-department,253,DOI,National Indian Gaming Commission,national-indian-gaming-commission,2017-00585,Privacy Act Procedures,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00585,0
2017,2017-01-23,Rule,interior-department,253,DOI,Safety and Environmental Enforcement Bureau,safety-and-environmental-enforcement-bureau,2017-00853,Civil Penalty Inflation Adjustment,The agency requested the withdrawal of this document after it was on public inspection. It will remain on public inspection until the close of business on January 24. A copy of the withdrawal request is available at the Office of the Federal Register.,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00853,1
2017,2017-01-23,Rule,nuclear-regulatory-commission,383,NRC,Nuclear Regulatory Commission,nuclear-regulatory-commission,2017-01313,Adjustment of Civil Penalties for Inflation,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01313,0
2017,2017-01-23,Rule,personnel-management-office,406,OPM,Personnel Management Office,personnel-management-office,2017-00803,Noncompetitive Appointment of Certain Military Spouses,OPM requested the withdrawal of this document after it was on public inspection. It will remain on public inspection until the close of business on January 24. A copy of the withdrawal request is available at the Office of the Federal Register.,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00803,1
2017,2017-01-23,Rule,transportation-department,492,DOT,Federal Aviation Administration,federal-aviation-administration,2017-01336,Airworthiness Directives: The Boeing Co. Airplanes,The Department of Transportation requested the withdrawal of this document after it was on public inspection. It will remain on public inspection until the close of business on January 24. A copy of the withdrawal request is available at the Office of the Federal Register.,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01336,1
2017,2017-01-23,Rule,treasury-department,497,TREAS,Internal Revenue Service,internal-revenue-service,2017-00497,Treatment of Certain Interests in Corporations as Stock or Indebtedness; Correction,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00497,0
2017,2017-01-23,Rule,treasury-department,497,TREAS,Internal Revenue Service,internal-revenue-service,2017-00498,Treatment of Certain Interests in Corporations as Stock or Indebtedness; Correction,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00498,0
2017,2017-01-23,Rule,treasury-department,497,TREAS,Foreign Assets Control Office,foreign-assets-control-office,2017-00686,Removal of Burmese Sanctions Regulations,"An agency letter requesting withdrawal of this document was received after placement on public inspection. The document will remain on public inspection through close of business January 24, 2017. A copy of the agency's letter is available for inspection at the Office of the Federal Register.",special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00686,1
2017,2017-01-24,Notice,agriculture-department,12,USDA,Forest Service,forest-service,2017-01256,Meetings: Sitka/Tenakee Springs/Port Alexander Resource Advisory Committee,The Forest Service requested the withdrawal of this document after it was on public inspection. It will remain on public inspection until the close of business on January 25. A copy of the withdrawal request is available at the Office of the Federal Register.,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01256,1
2017,2017-01-24,Notice,agriculture-department,12,USDA,Agriculture Department,agriculture-department,2017-01641,"Agency Information Collection Activities; Proposals, Submissions, and Approvals",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01641,0
2017,2017-01-24,Notice,agriculture-department,12,USDA,Forest Service,forest-service,2017-01645,"Environmental Impact Statements; Availability, etc.: Clear Creek Integrated Restoration Project, Nez Perce-Clearwater National Forests, ID",The Forest Service requested the withdrawal of this document after it was on public inspection. It will remain on public inspection until the close of business on January 25. A copy of the withdrawal request is available at the Office of the Federal Register.,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01645,1
2017,2017-01-24,Notice,agriculture-department,12,USDA,National Agricultural Statistics Service,national-agricultural-statistics-service,2017-01666,"Agency Information Collection Activities; Proposals, Submissions, and Approvals",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01666,0
2017,2017-01-24,Notice,civil-rights-commission,52,CRC,Civil Rights Commission,civil-rights-commission,2017-01600,Meetings: Arkansas Advisory Committee,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01600,0
2017,2017-01-24,Notice,commerce-department,54,DOC,International Trade Administration,international-trade-administration,2017-01597,"Antidumping or Countervailing Duty Investigations, Orders, or Reviews: Certain Pasta from Italy",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01597,0
2017,2017-01-24,Notice,commerce-department,54,DOC,National Institute of Standards and Technology,national-institute-of-standards-and-technology,2017-01599,Proposed Update to the Framework for Improving Critical Infrastructure Cybersecurity,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01599,0
2017,2017-01-24,Notice,commerce-department,54,DOC,International Trade Administration,international-trade-administration,2017-01635,"Antidumping or Countervailing Duty Investigations, Orders, or Reviews: Certain Amorphous Silica Fabric from the People's Republic of China",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01635,0
2017,2017-01-24,Notice,commerce-department,54,DOC,International Trade Administration,international-trade-administration,2017-01636,"Antidumping or Countervailing Duty Investigations, Orders, or Reviews: Certain Amorphous Silica Fabric from the People's Republic of China",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01636,0
2017,2017-01-24,Notice,commerce-department,54,DOC,International Trade Administration,international-trade-administration,2017-01653,"Antidumping or Countervailing Duty Investigations, Orders, or Reviews: Ammonium Sulfate from the People's Republic of China",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01653,0
2017,2017-01-24,Notice,commerce-department,54,DOC,Commerce Department,commerce-department,2017-01682,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Challenge and Prize Competition Solicitations",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01682,0
